BHK,Rent,Size,Floor/Total,Floor,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2,10000,1300,Ground out of 1,Ground,Kalikapur,Kolkata,Semi-Furnished,Family,2
2,4600,400,3 out of 3,3,Behala,Kolkata,Semi-Furnished,Bachelors,1
2,12000,650,Ground out of 1,Ground,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2
3,30000,2000,Ground out of 2,Ground,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2
3,15000,1068,Ground out of 3,Ground,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2
1,7500,150,1 out of 1,1,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1
1,7500,450,2 out of 2,2,New Town,Kolkata,Unfurnished,Bachelors,1
2,5000,800,Ground out of 1,Ground,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1
2,15000,1000,Ground out of 2,Ground,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2
2,11000,900,5 out of 5,5,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1
1,7000,600,Ground out of 2,Ground,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,1200,1 out of 1,1,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,1200,2 out of 2,2,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2
2,7000,650,Ground out of 3,Ground,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2
2,8500,720,4 out of 4,4,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2
1,5000,300,1 out of 3,1,Kasba,Kolkata,Unfurnished,Bachelors,1
3,30000,1200,Ground out of 2,Ground,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3
2,10000,700,7 out of 8,7,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2
3,30000,2000,1 out of 3,1,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2
1,3500,250,Ground out of 4,Ground,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,1100,Ground out of 3,Ground,Naihati,Kolkata,Unfurnished,Bachelors,1
1,5000,300,Ground out of 2,Ground,Kasba,Kolkata,Unfurnished,Bachelors/Family,1
2,7500,600,Ground out of 2,Ground,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1
2,6500,800,Ground out of 2,Ground,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1
1,7500,680,1 out of 3,1,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1
1,7500,680,Ground out of 2,Ground,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1
2,16000,850,1 out of 4,1,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1
2,16000,850,1 out of 2,1,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1
2,6500,700,Ground out of 2,Ground,Bandel,Kolkata,Unfurnished,Bachelors,1
3,40000,1500,Ground out of 2,Ground,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2
2,12500,950,1 out of 4,1,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2
2,5500,500,Ground out of 2,Ground,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1
1,5000,450,2 out of 4,2,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1
2,6500,700,Ground out of 2,Ground,Sonarpur,Kolkata,Unfurnished,Bachelors,1
1,8000,500,1 out of 2,1,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1
3,14500,1800,Ground out of 2,Ground,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2
1,8200,500,1 out of 3,1,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1
2,15000,480,Ground out of 3,Ground,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2
6,20000,1000,1 out of 1,1,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2
2,6700,800,1 out of 2,1,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1
1,10000,435,2 out of 3,2,Kasba,Kolkata,Unfurnished,Bachelors/Family,1
2,7000,700,Ground out of 2,Ground,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2
2,22000,800,4 out of 4,4,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1
2,6500,450,1 out of 3,1,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,550,2 out of 3,2,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1
2,18000,800,Ground out of 4,Ground,Salt Lake City,Kolkata,Unfurnished,Bachelors,2
2,12000,550,Ground out of 2,Ground,Baghajatin,Kolkata,Semi-Furnished,Family,2
1,9000,600,2 out of 4,2,Behala,Kolkata,Furnished,Bachelors/Family,1
1,6000,500,Ground out of 1,Ground,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1
2,20000,1000,1 out of 2,1,Anandapur,Kolkata,Furnished,Bachelors/Family,2
1,5000,300,1 out of 2,1,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1
2,12000,1200,1 out of 3,1,Boral,Kolkata,Furnished,Bachelors/Family,2
2,10000,500,3 out of 4,3,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1
4,18000,1200,1 out of 2,1,Bagbazar,Kolkata,Unfurnished,Family,2
2,15000,900,1 out of 2,1,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2
3,22000,1300,Ground out of 2,Ground,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3
4,35000,1600,1 out of 5,1,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3
3,21000,1450,Ground out of 1,Ground,Ajoy Nagar,Kolkata,Unfurnished,Family,2
2,25000,1100,2 out of 2,2,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2
2,180000,950,Ground out of 1,Ground,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2
1,6000,600,8 out of 5,8,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1
2,14000,700,Ground out of 2,Ground,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2
3,8000,750,Ground out of 2,Ground,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1
2,8000,1000,Ground out of 1,Ground,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1
1,6000,220,Ground out of 2,Ground,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1
1,8000,300,1 out of 3,1,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1
1,6000,300,Ground out of 1,Ground,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1
1,20000,700,1 out of 2,1,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1
3,12000,800,Ground out of 1,Ground,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2
3,15000,1600,1 out of 3,1,Garia,Kolkata,Unfurnished,Bachelors/Family,2
2,14000,1000,1 out of 3,1,Kasba,Kolkata,Unfurnished,Bachelors/Family,2
1,5000,20,2 out of 3,2,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1
2,7000,400,Ground out of 2,Ground,chatana,Kolkata,Unfurnished,Bachelors/Family,1
1,3900,200,2 out of 2,2,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1
3,14000,840,1 out of 4,1,Mukundapur,Kolkata,Unfurnished,Bachelors,2
1,6300,300,1 out of 1,1,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1
2,13000,550,1 out of 2,1,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2
1,6800,300,1 out of 2,1,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1
2,8000,800,1 out of 1,1,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2
2,10000,740,Ground out of 6,Ground,Sonarpur,Kolkata,Unfurnished,Bachelors,1
2,18000,1300,1 out of 1,1,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2
2,8000,650,Ground out of 1,Ground,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,490,1 out of 1,1,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1
1,4700,250,2 out of 2,2,Kaikhali,Kolkata,Furnished,Bachelors/Family,1
1,4700,250,Ground out of 1,Ground,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1
1,4500,450,1 out of 2,1,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1
1,6000,300,Ground out of 1,Ground,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1
2,16000,750,1 out of 3,1,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2
1,4700,250,1 out of 2,1,Kaikhali,Kolkata,Furnished,Bachelors/Family,1
2,14000,751,3 out of 3,3,Baghajatin,Kolkata,Unfurnished,Bachelors,1
2,9000,900,Ground out of 2,Ground,Lake Town,Kolkata,Semi-Furnished,Bachelors,1
2,5000,400,1 out of 3,1,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1
2,17500,1000,Ground out of 2,Ground,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2
2,8500,1000,Ground out of 1,Ground,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1
3,15000,1500,1 out of 1,1,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2
2,12500,750,1 out of 3,1,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2
1,13000,1200,2 out of 4,2,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,700,Ground out of 1,Ground,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1
2,8000,700,4 out of 4,4,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1
2,8000,1000,Ground out of 2,Ground,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1
2,7000,1200,1 out of 3,1,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2
2,2200,550,2 out of 3,2,Behala silpara,Kolkata,Furnished,Bachelors/Family,1
2,8000,800,Ground out of 4,Ground,Vip Road,Kolkata,Unfurnished,Bachelors,1
2,5500,280,1 out of 3,1,New Barrakpur,Kolkata,Unfurnished,Bachelors,1
3,20000,1100,Ground out of 2,Ground,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3
2,7000,950,Ground out of 2,Ground,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1
1,3500,250,1 out of 2,1,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1
2,5000,1000,Ground out of 2,Ground,Hindmotor,Kolkata,Unfurnished,Bachelors,1
3,20000,1000,Ground out of 2,Ground,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2
2,7000,650,Ground out of 2,Ground,Howrah,Kolkata,Unfurnished,Bachelors/Family,1
2,10000,700,1 out of 2,1,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2
2,7000,700,Ground out of 3,Ground,Baguiati,Kolkata,Unfurnished,Bachelors,1
3,12000,1000,Ground out of 3,Ground,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2
2,14500,900,1 out of 4,1,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2
1,6000,700,1 out of 2,1,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1
2,9500,700,1 out of 2,1,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2
2,10000,450,2 out of 1,2,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2
1,3500,120,Ground out of 3,Ground,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1
2,9000,800,1 out of 2,1,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2
3,40000,1220,2 out of 3,2,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2
3,16500,1100,Ground out of 3,Ground,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1
3,8000,700,Ground out of 3,Ground,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2
2,12000,800,Ground out of 3,Ground,Santoshpur,Kolkata,Furnished,Bachelors/Family,1
2,6500,670,2 out of 2,2,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1
4,40000,1300,1 out of 2,1,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3
1,5000,190,Ground out of 2,Ground,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1
2,9000,700,Ground out of 2,Ground,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1
1,7000,240,Ground out of 4,Ground,Jadavpur,Kolkata,Unfurnished,Bachelors,1
2,18000,850,2 out of 4,2,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1
1,9000,950,1 out of 2,1,Haltu,Kolkata,Unfurnished,Bachelors/Family,2
1,5500,450,1 out of 2,1,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1
2,7500,800,Ground out of 2,Ground,Bonhooghly,Kolkata,Unfurnished,Bachelors,1
2,4000,600,1 out of 2,1,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1
3,10500,800,2 out of 2,2,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2
3,15000,1100,Ground out of 2,Ground,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2
2,15000,800,Ground out of 2,Ground,Baguiati,Kolkata,Furnished,Bachelors/Family,1
1,50000,2200,2 out of 5,2,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3
2,12000,950,1 out of 1,1,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2
2,11000,550,2 out of 3,2,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1
2,12000,1800,1 out of 1,1,Birati,Kolkata,Unfurnished,Bachelors,2
2,8000,1000,Ground out of 2,Ground,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1
2,18000,600,Ground out of 3,Ground,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2
2,8000,750,2 out of 4,2,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2
2,7000,685,2 out of 3,2,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1
1,6500,44,Ground out of 1,Ground,Baranagar,Kolkata,Furnished,Bachelors/Family,1
4,13000,1200,Ground out of 2,Ground,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1
2,9000,500,Ground out of 2,Ground,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1
4,10000,1110,2 out of 2,2,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2
2,12000,1000,1 out of 3,1,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2
2,5000,392,Ground out of 2,Ground,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,700,1 out of 2,1,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1
1,5200,750,2 out of 4,2,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1
3,15000,1500,1 out of 2,1,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2
2,9000,900,Ground out of 1,Ground,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2
1,24000,710,1 out of 1,1,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1
1,5500,400,Ground out of 3,Ground,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1
1,10000,700,1 out of 2,1,Garia,Kolkata,Unfurnished,Bachelors,1
2,15000,1000,Ground out of 2,Ground,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1
1,4700,250,1 out of 2,1,Kaikhali,Kolkata,Furnished,Bachelors/Family,1
1,5000,500,Ground out of 3,Ground,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1
2,5000,450,2 out of 2,2,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1
3,15000,1400,1 out of 3,1,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1
1,5000,500,1 out of 1,1,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1
2,6000,700,Ground out of 1,Ground,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1
3,18000,1200,1 out of 3,1,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,450,1 out of 2,1,Andul,Kolkata,Unfurnished,Bachelors,1
1,13000,500,2 out of 2,2,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors,1
2,7500,400,Ground out of 1,Ground,locality,Kolkata,Unfurnished,Bachelors/Family,1
3,12000,1000,Ground out of 1,Ground,Khardah,Kolkata,Unfurnished,Bachelors/Family,2
2,11000,750,Ground out of 1,Ground,Parnasree Pally,Kolkata,Unfurnished,Bachelors,1
1,6000,450,Ground out of 2,Ground,Baghajatin,Kolkata,Unfurnished,Family,1
3,20000,1000,1 out of 2,1,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2
2,7000,500,1 out of 1,1,sarsuna banerjee para,Kolkata,Unfurnished,Bachelors,2
4,30000,1600,Ground out of 1,Ground,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2
2,7500,550,Ground out of 1,Ground,Near Seven Tanks Road Dumdum Station,Kolkata,Unfurnished,Bachelors,1
1,6500,550,1 out of 2,1,Jyangra,Kolkata,Unfurnished,Bachelors/Family,2
1,3000,200,2 out of 3,2,Barasat,Kolkata,Unfurnished,Bachelors/Family,1
2,5200,650,1 out of 2,1,Sukchar,Kolkata,Unfurnished,Bachelors,1
2,25000,1000,1 out of 1,1,"Tagore Park, Kasba",Kolkata,Furnished,Bachelors/Family,2
2,12500,680,Ground out of 2,Ground,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,2
2,8500,720,Ground out of 1,Ground,"Silpara, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,2
2,3500,500,4 out of 5,4,Konnagar,Kolkata,Unfurnished,Bachelors,1
2,7000,800,Ground out of 2,Ground,Madhyam Gram,Kolkata,Unfurnished,Bachelors/Family,1
1,3000,160,Ground out of 1,Ground,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,1
2,14000,1200,1 out of 2,1,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,2
1,18000,700,Ground out of 4,Ground,Salt Lake City Sector 3,Kolkata,Furnished,Bachelors/Family,1
1,3500,1000,Ground out of 1,Ground,Dum Dum Cantonment,Kolkata,Semi-Furnished,Bachelors/Family,1
2,16000,1250,Ground out of 1,Ground,Kasba,Kolkata,Unfurnished,Bachelors/Family,2
4,35000,1600,Ground out of 3,Ground,Salt Lake City,Kolkata,Unfurnished,Bachelors/Family,3
2,21000,700,Ground out of 2,Ground,Lake Gardens,Kolkata,Semi-Furnished,Bachelors/Family,1
1,4500,450,Ground out of 2,Ground,"Silpara, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1
2,15000,839,1 out of 3,1,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,2
1,4500,230,Ground out of 3,Ground,Birati,Kolkata,Unfurnished,Bachelors/Family,1
1,5500,1800,Ground out of 2,Ground,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,800,1 out of 2,1,Baguihati,Kolkata,Unfurnished,Bachelors/Family,2
1,5000,500,Ground out of 1,Ground,BRAHMAPUR NEAR BANSDRONI,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8500,620,Ground out of 1,Ground,Kasba,Kolkata,Unfurnished,Bachelors,1
2,9000,650,2 out of 3,2,tollygunge Kabardanga,Kolkata,Unfurnished,Bachelors/Family,1
1,7500,550,1 out of 2,1,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1
2,7000,450,1 out of 3,1,safuipara,Kolkata,Furnished,Bachelors,2
3,15000,1350,1 out of 2,1,"Annapurna Apartment, Rajarhat Chowmatha",Kolkata,Unfurnished,Family,2
2,7000,600,2 out of 2,2,"Park Circus, Ballygunge",Kolkata,Semi-Furnished,Bachelors/Family,2
3,10000,1200,2 out of 4,2,Belghoria,Kolkata,Furnished,Bachelors/Family,1
2,7000,700,1 out of 2,1,"Haridevpur, Paschim Putiary",Kolkata,Unfurnished,Bachelors/Family,1
3,3200,800,1 out of 3,1,Bhawanipur,Kolkata,Furnished,Bachelors/Family,2
2,6000,600,Ground out of 3,Ground,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,1
2,12000,900,1 out of 3,1,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,2
2,6000,750,Ground out of 1,Ground,Behala,Kolkata,Unfurnished,Bachelors/Family,1
3,10000,1250,1 out of 2,1,Jaffarpore Rifle Range Road,Kolkata,Unfurnished,Bachelors/Family,2
3,12000,1000,2 out of 2,2,Dariya,Kolkata,Semi-Furnished,Bachelors/Family,3
2,8000,600,Ground out of 2,Ground,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,1
2,5300,650,1 out of 1,1,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1
2,5000,450,2 out of 3,2,Liluah,Kolkata,Unfurnished,Bachelors,1
3,8500,800,Ground out of 2,Ground,Near DumDum Metro,Kolkata,Unfurnished,Bachelors/Family,2
3,22000,1000,Ground out of 3,Ground,"Sukanta Nagar, New Barrakpur",Kolkata,Semi-Furnished,Bachelors/Family,2
2,7000,1000,Ground out of 3,Ground,"Kumarpara, Narendrapur",Kolkata,Unfurnished,Bachelors/Family,1
3,25000,1400,5 out of 5,5,Salt Lake City,Kolkata,Furnished,Bachelors,3
2,7000,600,1 out of 4,1,Barrackpore,Kolkata,Semi-Furnished,Bachelors,1
2,15000,723,Ground out of 3,Ground,Narendrapur,Kolkata,Furnished,Family,1
1,6000,320,Ground out of 2,Ground,Sahid Nagar,Kolkata,Unfurnished,Bachelors/Family,1
2,8000,900,Ground out of 3,Ground,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,1
3,40000,1400,Ground out of 2,Ground,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors/Family,2
1,6000,2160,1 out of 2,1,Kasba,Kolkata,Semi-Furnished,Bachelors,1
2,15000,650,Ground out of 2,Ground,kasba bosepukur,Kolkata,Semi-Furnished,Bachelors/Family,1
2,6500,800,1 out of 1,1,Kanchrapara,Kolkata,Semi-Furnished,Bachelors/Family,1
3,8000,800,2 out of 3,2,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,1
1,5500,500,Ground out of 2,Ground,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1
3,9000,1700,1 out of 2,1,Panchanantala Road,Kolkata,Semi-Furnished,Bachelors/Family,2
